Symbol,Date,Open,High,Low,Close,Adj Close,Volume
COKE,7/29/2020,231.179993,236.639999,230.610001,231.229996,230.77243,34900
COKE,7/30/2020,230.190002,232.220001,226.289993,227,226.550797,32600
COKE,7/31/2020,228.410004,230.690002,226,229.559998,229.105743,51700
COKE,8/3/2020,232.240005,232.240005,227.169998,228.809998,228.357208,51500
COKE,8/4/2020,228.229996,231.509995,227.089996,228.240005,227.788361,43400
COKE,8/5/2020,232.320007,280,232.300003,269,268.467682,142600
COKE,8/6/2020,266.130005,266.130005,255,258.029999,257.519409,57100
COKE,8/7/2020,256.130005,266.570007,255.449997,263.220001,262.699127,42000
COKE,8/10/2020,263.200012,276.179993,260.339996,274.910004,274.365997,75800
COKE,8/11/2020,275.970001,282.5,269.429993,271.119995,270.583496,42500
COKE,8/12/2020,272.179993,278.820007,272.179993,272.790009,272.250183,40800
COKE,8/13/2020,271,277.5,271,274.320007,273.777191,36800
COKE,8/14/2020,273.230011,281.089996,273.149994,276.480011,275.932922,29700
COKE,8/17/2020,275.420013,275.420013,270.980011,272.779999,272.240204,23600
COKE,8/18/2020,272,274.140015,268.209991,272.700012,272.16037,33100
COKE,8/19/2020,271.839996,275.109985,270.679993,272.779999,272.240204,31900
COKE,8/20/2020,271.190002,273.899994,268.440002,270.549988,270.014618,23000
COKE,8/21/2020,271.049988,271.049988,264.429993,267.390015,266.860901,90700
COKE,8/24/2020,268,278.829987,267.98999,277.459991,276.910919,29200
COKE,8/25/2020,276,277.779999,272.570007,274.589996,274.046631,23700
COKE,8/26/2020,275.339996,275.339996,272.730011,273.839996,273.298126,22500
COKE,8/27/2020,273.910004,279.809998,273.910004,275.209991,274.665375,20700
COKE,8/28/2020,279.279999,279.279999,276.540009,278.48999,277.938904,18500
COKE,8/31/2020,278.149994,278.559998,272.660004,273.299988,272.759155,39600
COKE,9/1/2020,271.679993,276.459991,271.679993,274.410004,273.867004,33200
COKE,9/2/2020,274.579987,285.940002,274.579987,282.809998,282.250336,41000
COKE,9/3/2020,282.640015,282.640015,273.200012,276.809998,276.262238,31400
COKE,9/4/2020,278.279999,279.359985,271.269989,275.290009,274.74527,27600
COKE,9/8/2020,273.649994,273.649994,267.579987,269.690002,269.156311,26900
COKE,9/9/2020,270.290009,276,269.769989,275.309998,274.765198,31200
COKE,9/10/2020,277.029999,279.390015,271,271,270.463745,19500
COKE,9/11/2020,270.959991,274.820007,266.470001,269.100006,268.567505,27100
COKE,9/14/2020,269.25,271.209991,265.160004,265.399994,264.874786,29500
COKE,9/15/2020,266.410004,268.220001,259.649994,260.299988,259.784882,28300
COKE,9/16/2020,260.299988,260.609985,253.580002,254.729996,254.225937,23100
COKE,9/17/2020,251.5,252.419998,248.259995,249.490005,248.996292,21700
COKE,9/18/2020,251.309998,254.270004,242.789993,244.619995,244.135925,71800
COKE,9/21/2020,241.350006,241.350006,233.580002,236.300003,235.832397,34600
COKE,9/22/2020,236.389999,241.089996,236.389999,239.309998,238.836441,19100
COKE,9/23/2020,239.910004,243.669998,230.240005,230.240005,229.784393,26500
