Symbol,Date,Open,High,Low,Close,Adj Close,Volume
PEP,8/6/2020,135.270004,136.289993,135.270004,135.860001,133.935867,2692900
PEP,8/7/2020,135.940002,136.759995,135.369995,136.740005,134.803406,3692100
PEP,8/10/2020,136.320007,136.880005,135.380005,135.979996,134.054169,3052000
PEP,8/11/2020,136.970001,137.449997,134.619995,135.119995,133.206345,3301200
PEP,8/12/2020,135.339996,138.679993,135.25,137.800003,135.848389,4425200
PEP,8/13/2020,137.100006,138.610001,137.100006,138.100006,136.14415,2393500
PEP,8/14/2020,138.110001,138.169998,137.199997,137.559998,135.611801,2461700
PEP,8/17/2020,137.5,138.889999,137.050003,137.919998,135.96669,2862500
PEP,8/18/2020,138.610001,138.610001,137.039993,138.110001,136.154007,2638600
PEP,8/19/2020,138.690002,138.789993,136.100006,136.449997,134.517517,3682200
PEP,8/20/2020,135.660004,137.149994,135.630005,136.720001,134.783707,2263000
PEP,8/21/2020,136.369995,136.660004,135.25,136.460007,134.527374,4295600
PEP,8/24/2020,136.460007,137.679993,136.110001,137.639999,135.690659,3177800
PEP,8/25/2020,138.259995,138.380005,136.699997,137.300003,135.355484,2597400
PEP,8/26/2020,136.580002,138.660004,136.380005,138.470001,136.508911,6019700
PEP,8/27/2020,138.710007,139.929993,137.910004,138.399994,136.43988,4159300
PEP,8/28/2020,138.520004,139.960007,137.240005,139.940002,137.958084,3355400
PEP,8/31/2020,139.320007,141.020004,139,140.059998,138.076385,3828700
PEP,9/1/2020,140.25,140.479996,138.509995,139.190002,137.218719,3422800
PEP,9/2/2020,139.520004,143.820007,139.350006,143.289993,141.260651,4918200
PEP,9/3/2020,142.770004,144.039993,138.119995,139.369995,138.38414,6642400
PEP,9/4/2020,139.660004,140.309998,136.940002,138.759995,137.778442,4836400
PEP,9/8/2020,138.309998,138.630005,134.410004,135.550003,134.591156,4901500
PEP,9/9/2020,135.5,138.460007,135.399994,137.110001,136.140121,4282300
PEP,9/10/2020,136.600006,137.550003,133.880005,134.759995,133.806747,6050500
PEP,9/11/2020,135.220001,136.380005,134.229996,135.809998,134.849319,3411900
PEP,9/14/2020,136.529999,137.5,135.800003,136.669998,135.703232,2779000
PEP,9/15/2020,136.479996,137.240005,135.410004,135.619995,134.66066,4080800
PEP,9/16/2020,136.279999,136.600006,134.779999,134.979996,134.025192,3353500
PEP,9/17/2020,133.389999,134.550003,131.690002,133.199997,132.257782,5186400
PEP,9/18/2020,133.710007,134.789993,130.009995,131.470001,130.540024,8473000
PEP,9/21/2020,130.369995,131.309998,129.360001,131.240005,130.311646,4402700
PEP,9/22/2020,131,132.889999,130.449997,132.149994,131.21521,3951000
PEP,9/23/2020,132.699997,132.820007,129.850006,131,130.073349,5909900
PEP,9/24/2020,131.440002,132.309998,129.919998,131.580002,130.649246,4316600
PEP,9/25/2020,130.889999,133.830002,130.509995,133.550003,132.605316,4576000
PEP,9/28/2020,136.039993,138.580002,135.669998,137.970001,136.994049,7487500
PEP,9/29/2020,138.660004,139.539993,137.130005,137.160004,136.189774,4330500
PEP,9/30/2020,137.990005,139.190002,136.899994,138.600006,137.619598,7060700
PEP,10/1/2020,139.440002,140.850006,137.490005,140.800003,139.804031,6483900
PEP,10/2/2020,139.279999,139.910004,136.199997,138.059998,137.083405,5130200
PEP,10/5/2020,138.110001,138.380005,136.979996,137.929993,136.954315,4519800
PEP,10/6/2020,138,138.820007,135.149994,135.699997,134.740097,5031000
PEP,10/7/2020,135.940002,137.520004,135.759995,137.009995,136.040833,4347300
PEP,10/8/2020,137.279999,138.130005,136.759995,137.850006,136.874893,2977400
PEP,10/9/2020,138.699997,139.259995,137.899994,138.440002,137.460724,3194000
PEP,10/12/2020,141.119995,143.490005,139.779999,142.130005,141.124619,6167200
PEP,10/13/2020,142.220001,144,141.910004,143.539993,142.524628,4293200
PEP,10/14/2020,143.550003,144.110001,141.630005,142.520004,141.511856,3641000
PEP,10/15/2020,141.160004,141.970001,140.619995,141.429993,140.429565,3306800
PEP,10/16/2020,141.75,142.820007,141.130005,141.729996,140.727448,5076000
PEP,10/19/2020,141.339996,142.529999,139.25,139.679993,138.69194,3223200
PEP,10/20/2020,141,141.220001,139.410004,139.710007,138.721741,2750900
PEP,10/21/2020,139.679993,140.479996,139.100006,139.600006,138.612518,2560100
PEP,10/22/2020,139.800003,140.199997,139.009995,139.610001,138.622437,2909000
PEP,10/23/2020,140.220001,140.529999,139.039993,139.559998,138.572784,2758400
PEP,10/26/2020,138.740005,139.080002,136.410004,138.059998,137.083405,3431100
PEP,10/27/2020,138.570007,139.889999,138.300003,139.119995,138.135895,3390800
PEP,10/28/2020,137.149994,137.710007,133.940002,134.169998,133.220917,5196000
PEP,10/29/2020,133.759995,135.630005,132.259995,133.990005,133.042206,3856500
PEP,10/30/2020,132.929993,133.839996,131.710007,133.289993,132.347137,4303900
PEP,11/2/2020,135.610001,136.229996,133.779999,135.149994,134.193985,3126400
PEP,11/3/2020,136.619995,138.600006,136.279999,137.039993,136.070618,3293900
PEP,11/4/2020,139,141.699997,137.660004,137.860001,136.884827,4576300
PEP,11/5/2020,139.350006,140.270004,137.470001,138.050003,137.073471,3667800
PEP,11/6/2020,138.559998,139.770004,137.330002,138.380005,137.401154,2867000
PEP,11/9/2020,142,143.649994,138.169998,138.449997,137.470642,6111300
PEP,11/10/2020,136.990005,142.440002,136.190002,141.720001,140.717514,5284500
PEP,11/11/2020,142.860001,144.240005,141.610001,143.899994,142.882095,4389800
PEP,11/12/2020,144.25,144.740005,142.759995,143.839996,142.82251,2570100
PEP,11/13/2020,143.770004,144.889999,143.270004,144.710007,143.686371,2580400
PEP,11/16/2020,145,146.259995,144.690002,145.759995,144.728928,3399000
PEP,11/17/2020,144.270004,146.100006,144.110001,145.240005,144.212616,2924000
PEP,11/18/2020,145.490005,146.570007,143.300003,143.380005,142.365784,4335200
PEP,11/19/2020,142.880005,143.699997,142.339996,143.320007,142.306198,4263500
PEP,11/20/2020,143.649994,144.639999,143,143.419998,142.405487,3469100
PEP,11/23/2020,143.309998,143.649994,141.880005,143.020004,142.008316,3443300
PEP,11/24/2020,143.190002,144.360001,142.820007,144.029999,143.011169,4472300
PEP,11/25/2020,144.449997,144.919998,143.699997,144.160004,143.140259,2278300
PEP,11/27/2020,144.619995,145.279999,144.179993,144.600006,143.577148,1596000
PEP,11/30/2020,144.460007,144.630005,142.880005,144.229996,143.209763,4906900
PEP,12/1/2020,145.029999,146.630005,144.5,146.070007,145.036758,3999600
PEP,12/2/2020,145.880005,146.940002,143.889999,144.619995,143.597,4432900
PEP,12/3/2020,143.020004,144.960007,143.020004,144.449997,144.449997,4757900
